row_iter,kappa,energy_per_particle,mcmc_error_in_energy_per_particle,local_energy_deviation_per_particle
65,4.105156042311533,-0.4008935997731369,0.00025398660097576345,0.005477924806673948
66,4.306208614103119,-0.4009786190577326,0.00019524260035263578,0.005314541180274389
67,4.388841866227437,-0.40138389850500117,0.00025186404231323573,0.0051713677117772305
68,4.54045354507627,-0.4016039516739806,0.00011772458504055611,0.004829579793422233
69,4.582183826033436,-0.40199304871903935,8.702922817563747e-5,0.0047725600049358715
70,4.585980093050278,-0.40185645870973347,0.000152427066917771,0.004821956828784431
71,4.588367449271778,-0.4024608945820312,0.000732082374684358,0.004909214567418017
72,4.791278093325928,-0.40198583562516804,0.0001997082896075767,0.004637381048326171
73,4.858424587159791,-0.4022736375763464,0.00014242744657825968,0.004818405259954896
74,4.888677479597019,-0.4021751552632163,0.00015270187013459324,0.0047368851770844995
75,4.9231450134992345,-0.40211490538482125,0.00023082309575985882,0.004552928158382122
76,4.929239870613128,-0.4023156267859103,0.00019876495075602692,0.004686954227044342
77,4.969513158205557,-0.402180706159897,0.00017884497376018254,0.004604783544136772
78,4.997305286708224,-0.40239177424546957,0.00017411443097733805,0.0043677871931022535
79,4.998215603204602,-0.40264043528484345,0.0001308639798759793,0.00433426820769089
